1,Antonio Brown,PIT
2,Odell Beckham Jr.,NYG
3,Julio Jones,ATL
4,DeAndre Hopkins,HOU
5,A.J. Green,CIN
6,Dez Bryant,DAL
7,Allen Robinson,JAC
8,Mike Evans,TB
9,Jordy Nelson,GB
10,Alshon Jeffery,CHI
11,Brandon Marshall,NYJ
12,Keenan Allen,SD
13,Brandin Cooks,NO
14,Amari Cooper,OAK
15,Demaryius Thomas,DEN
16,Sammy Watkins,BUF
17,T.Y. Hilton,IND
18,Jeremy Maclin,KC
19,Randall Cobb,GB
20,Kelvin Benjamin,CAR
21,Julian Edelman,NE
22,Golden Tate,DET
23,Eric Decker,NYJ
24,Doug Baldwin,SEA
25,Jarvis Landry,MIA
26,Michael Floyd,ARI
27,Donte Moncrief,IND
28,Jordan Matthews,PHI
29,John Brown,ARI
30,Emmanuel Sanders,DEN
31,Allen Hurns,JAC
32,DeVante Parker,MIA
33,DeSean Jackson,WAS
34,Josh Gordon,CLE
35,Larry Fitzgerald,ARI
36,Michael Crabtree,OAK
37,Tyler Lockett,SEA
38,Marvin Jones,DET
39,Torrey Smith,SF
40,Kevin White,CHI
41,Corey Coleman,CLE
42,Tavon Austin,LA
43,Markus Wheaton,PIT
44,Sterling Shepard,NYG
45,Stefon Diggs,MIN
46,Willie Snead,NO
47,Laquon Treadwell,MIN
48,Vincent Jackson,TB
49,Devin Funchess,CAR
50,Mike Wallace,BAL
