1,Todd Gurley,LA,176
2,David Johnson,ARI,164
3,Lamar Miller,HOU,173
4,Ezekiel Elliott,DAL,Rookie
5,Adrian Peterson,MIN,217
6,Jamaal Charles,KC,75
7,Devonta Freeman,ATL,230
8,Doug Martin,TB,187
9,Le'Veon Bell,PIT,83
10,LeSean McCoy,BUF,137
11,Eddie Lacy,GB,109
12,Mark Ingram,NO,143
13,C.J. Anderson,DEN,103
14,Matt Forte,NYJ,159
15,Dion Lewis,NE,77
16,Latavius Murray,OAK,148
17,Thomas Rawls,SEA,111
18,Carlos Hyde,SF,66
19,Giovani Bernard,CIN,119
20,Duke Johnson,CLE,90
21,Danny Woodhead,SD,149
22,Ryan Mathews,PHI,95
23,Matt Jones,WAS,84
24,Jonathan Stewart,CAR,139
25,DeMarco Murray,TEN,129
26,Jeremy Hill,CIN,145
27,Jeremy Langford,CHI,115
28,Ameer Abdullah,DET,78
29,Melvin Gordon,SD,64
30,Frank Gore,IND,147
31,T.J. Yeldon,JAC,109
32,Arian Foster,MIA,51
33,DeAngelo Williams,PIT,179
34,Justin Forsett,BAL,83
35,Chris Ivory,JAC,159
36,Charles Sims,TB,117
37,Theo Riddick,DET,87
38,Rashad Jennings,NYG,125
39,Jay Ajayi,MIA,31
40,Javorius Allen,BAL,87
41,Bilal Powell,NYJ,79
42,C.J. Prosise,SEA,Rookie
43,Isaiah Crowell,CLE,107
44,Tevin Coleman,ATL,37
45,Derrick Henry,TEN,Rookie
46,Shane Vereen,NYG,88
47,LeGarrette Blount,NE,110
48,Darren Sproles,PHI,94
49,DeAndre Washington,OAK,Rookie
50,Alfred Morris,DAL,79
